"";"mean";"sd";"5.5%";"94.5%";"rhat";"ess_bulk"
"z_A[24]";0,2476191380962;0,357135467514551;-0,32426885;0,807814195;1,02814470278753;605,728247722495
"z_A[25]";1,29717896856;0,339105167140398;0,74228139;1,82875795;1,01261923882525;1050,7940069359
"z_A[26]";0,442396690021892;0,340315726390265;-0,113539465;0,98355966;1,01444472351499;1056,30721785628
"z_A[27]";-0,2644060540508;0,339391540278608;-0,81740969;0,24882077;1,01488656903758;1076,12084337251
"z_A[28]";-0,973931124438;0,359143292756496;-1,5528317;-0,39871137;1,02610197973441;734,919440937593
"z_A[29]";0,7750837277592;0,211386843619102;0,436012035;1,11165935;1,03089942427828;491,732654360255
"z_A[30]";0,5394091952522;0,213283055181339;0,20154312;0,886739485;1,03361658602656;453,828131309727
"z_A[31]";0,4229637679072;0,214069197411442;0,0704339925;0,758311655;1,0495436330876;362,365348898413
"z_A[32]";-2,1358918298;0,359631185039129;-2,705261;-1,56561315;1,02771535795967;624,07930665006
"z_A[33]";0,470879345035962;0,362257959006056;-0,111753375;1,0536955;1,02878061240331;559,879199753442
"z_A[34]";-0,16888080445936;0,341744536433782;-0,727838885;0,35503736;1,01504683428064;1038,88289175527
"z_A[35]";-0,2579626494296;0,364020764421469;-0,842144655;0,322993940000001;1,02709118974192;684,635061869679
"z_A[36]";0,55905536153;0,21223908626278;0,23646908;0,900900505;1,03647282270124;390,324494180664
"z_A[37]";0,10061041013882;0,211136381296398;-0,23222807;0,436948165;1,05718057396058;254,343711031383
"z_A[38]";0,50406051274;0,212997383284618;0,161095295;0,845476225;1,04821422128068;322,637380792304
"z_A[39]";1,1536489142;0,214037092805568;0,81001101;1,49172055;1,05322133131876;269,311686903715
"z_A[40]";-0,577682582034;0,213972511661528;-0,913474325;-0,229628475;1,03478578746022;410,529783876116
"z_A[41]";0,6532995859408;0,20635615354506;0,32074106;0,98438053;1,02653007346695;598,03835597174
"z_A[42]";-0,9139345604;0,211672148378745;-1,25877165;-0,57725846;1,0525994691115;267,075116426305
"z_A[43]";1,0683339424;0,206039366644278;0,741086955;1,39473735;1,03451138531347;417,203965294449
"z_A[44]";0,223692075003;0,214184929480513;-0,11406722;0,56671159;1,04153899554725;360,688260901521
"z_A[45]";0,3989811216592;0,213754728859983;0,056302281;0,737062145;1,04696503467038;325,457570105225
"z_A[46]";-0,4601637469224;0,21182276617926;-0,79237738;-0,1183123;1,03618220076948;378,891431065133
"z_A[47]";-0,5641581411618;0,212694689867879;-0,906862065;-0,22819192;1,0513430210636;297,307281553408
"z_A[48]";0,2749495331452;0,20350272470506;-0,048489342;0,59939773;1,03283631586973;572,709364304274
"z_A[49]";0,1081257095928;0,208312715231961;-0,226604795;0,446760705;1,03229291479511;453,548816838943
"z_A[50]";-0,69318126809;0,215585436850639;-1,0447103;-0,35683698;1,04901257215192;327,069773897274
"z_A[51]";-0,785584281448;0,210942475117081;-1,11671085;-0,44090752;1,03355143605284;432,481293876839
"z_A[52]";-0,77331688096;0,20575346898673;-1,0991831;-0,443607355;1,02826433909261;543,516094852865
"z_A[53]";0,32341762002882;0,212557136414554;-0,0221599515;0,65475029;1,05135666964881;306,41179183482
"z_A[54]";0,3803113207972;0,216746207493007;0,0258559615;0,72168101;1,05244837414445;271,786634953125
"z_A[55]";-0,53945114989;0,21332589166632;-0,877054625;-0,199979945;1,03687044205787;399,801851840949
"z_A[56]";0,4843149037626;0,207717203196391;0,142626225;0,81233543;1,0294528780425;518,689153714448
"z_A[57]";-0,194065984762981;0,207389735440955;-0,532884685;0,13618062;1,02942707048896;535,458760130673
"z_A[58]";0,60751206514;0,209959711540784;0,26708668;0,93675825;1,03816096559766;379,263780052662
"z_A[59]";-1,2612102416;0,213839762880968;-1,60412865;-0,923146135;1,03375750811657;434,272421048168
"z_A[60]";0,10464031072366;0,214454719207058;-0,246000805;0,451291045;1,05141324273412;283,840406855424
"z_A[61]";-0,3042647994016;0,205155276784787;-0,633789605;0,019176017;1,02923397836684;578,722571916427
"z_A[62]";0,17273986698286;0,212550926437231;-0,16584384;0,506051855;1,04568799388376;359,163091080392
"z_A[63]";-0,83755034584;0,209854972513686;-1,1802419;-0,510495114999999;1,05029195126638;318,444492613138
"z_A[64]";0,70606787094;0,21206034645289;0,36665665;1,0478919;1,03474372473139;445,687205368207
"z_A[65]";-0,2754447425734;0,216519589782135;-0,624336105;0,0671250150000001;1,04818040822036;311,979367172792
"z_A[66]";-0,1059774141556;0,20787409102945;-0,433277865;0,231821;1,03065263309193;498,954333989624
"z_A[67]";0,572264695182;0,212913337354302;0,22753657;0,909069095;1,0469841788724;337,001963203699
"z_A[68]";-2,229376732;0,212343784296565;-2,57512905;-1,89419175;1,04756235250303;306,20434277914
"z_A[69]";1,0209330022;0,208301018537223;0,681802535;1,35036455;1,03061603037965;519,036747516456
"z_A[70]";0,04996320888312;0,21537704891579;-0,29595359;0,38553755;1,04861883185069;291,622812806421
"z_A[71]";0,3365838857705;0,215629283681373;-0,0074484203;0,68452135;1,05122952796342;282,953489302305
"z_A[72]";1,1032312912;0,217512839937959;0,751285995;1,4542695;1,05688072692315;249,328746901775
"z_A[73]";0,3320331349292;0,207327374825831;-0,000124652675;0,665485210000001;1,03238920934543;455,345335245439
"z_A[74]";-1,3952919132;0,209529203388836;-1,7276843;-1,0635169;1,03030483594629;513,917534555662
"z_A[75]";-0,5958635606966;0,212996253991477;-0,94467531;-0,260396845;1,05759558637068;250,872874602207
"z_A[76]";-2,041352624;0,218071610686197;-2,39165135;-1,69981465;1,05547340995224;256,459746526238
"z_A[77]";-0,4146708629442;0,211108310838344;-0,75049118;-0,0746236434999999;1,03743391278282;389,485454344447
"z_A[78]";-0,30810644323628;0,214206797214984;-0,642862535;0,039523978;1,03366568112193;453,832747090122
"z_A[79]";1,499645624;0,221592827683802;1,14665955;1,84730495;1,05076816274081;298,021720849148
"z_A[80]";-2,171191058;0,214788175973651;-2,519294;-1,83005305;1,0432918217353;401,243929378355
"z_A[81]";0,001177491925652;0,214040988517202;-0,34161948;0,345181865;1,05108703388763;268,551106039912
"z_A[82]";-1,025732279;0,212368512658711;-1,36973265;-0,689795745;1,0332531658046;417,717087564274
"z_A[83]";0,76147685382;0,207606441887202;0,42695601;1,0873266;1,02902980604193;536,092747984871
"z_A[84]";0,4299697867446;0,209316162967187;0,0869680035;0,758507885;1,05255030408375;276,713616108971
"z_A[85]";0,32966030802966;0,213273940451065;-0,0140588415;0,67112337;1,04687112480629;338,317049904905
"z_A[86]";-1,4334148446;0,215188243911959;-1,77601385;-1,08081325;1,0322683742848;494,878590509212
"z_A[87]";0,670096813216;0,209285230608562;0,33854536;1,007162;1,02919868771061;563,817214640992
"z_A[88]";-0,24234123881418;0,215791599886667;-0,589531745;0,0945121275000001;1,05400458309568;272,562420022342
"z_A[89]";0,8753675984;0,208407617819988;0,542340915;1,21684265;1,03001028409247;501,03099266835
"z_A[90]";0,479409709628;0,214901408548478;0,13435511;0,81607586;1,0544314921601;274,765573499788
"z_A[91]";1,171692365;0,216662023434527;0,81701062;1,50865925;1,04664275166509;337,451928041176
"z_A[92]";-0,3777641790242;0,213093787496574;-0,71982253;-0,0337536399999998;1,03648763762457;410,997280056001
"z_A[93]";0,27241684137646;0,234686611782359;-0,10235721;0,65563064;1,02715571507072;558,849496497002
"z_A[94]";-0,320229271451612;0,236352744270449;-0,7154869;0,0518572225;1,03102827479243;505,113707430628
"z_A[95]";-0,71443803441;0,24168402019517;-1,10706365;-0,32648981;1,02966994059022;522,861086351105
"z_A[96]";-1,0241078952;0,253501902603747;-1,42178995;-0,60982965;1,03201245015453;520,341204776211
"z_A[97]";0,337330045753896;0,235114614250077;-0,0268123095;0,7140354;1,0257712754689;563,534253949682
"z_A[98]";0,8649631481;0,233376269773407;0,493656615;1,2394433;1,03317946338751;518,094697754696
"z_A[99]";-0,86661574546;0,251214836399342;-1,26643785;-0,450140405;1,0332342840094;510,786881970736
"z_A[100]";0,9826242016;0,233541852002401;0,60238045;1,3566107;1,02987044982115;548,623016049962
"z_A[101]";-0,26119664295482;0,239345276236153;-0,645395485;0,118627315;1,03228439188256;519,507603967008
"z_A[102]";0,35453130750484;0,239466791454797;-0,030526665;0,73527733;1,03207112087524;527,677709160562
"z_A[103]";0,22733601003638;0,24910600311937;-0,171775085;0,623897585;1,02701624466594;564,914357207248
"z_A[104]";0,45167284241144;0,247874655362946;0,0578120085;0,84765234;1,03362261476115;511,809898355604
"z_A[105]";2,383037988;0,245163832172107;1,99273425;2,7705943;1,03362426048018;476,646104584246
"z_A[106]";-0,14896297406512;0,232978097309445;-0,52254881;0,22467861;1,02776668735351;571,702919186097
"z_A[107]";0,0878634627638;0,253385414228448;-0,31016637;0,492445735;1,032906341991;517,718018630332
"z_A[108]";-0,20712104814386;0,234581641477927;-0,579747385;0,16377315;1,0288078588894;547,431926581611
"z_A[109]";-1,02527246534;0,23998772532168;-1,40905705;-0,642286915;1,03021632758229;543,327172753978
"z_A[110]";-1,4581259654;0,233710266885753;-1,8320016;-1,08531745;1,02810739379421;556,721261717226
"z_A[111]";0,644600830228;0,250261654860964;0,250794255;1,05548755;1,03290264026459;534,613357112475
"z_A[112]";0,75347227232;0,248359006785537;0,3583869;1,15925705;1,03069508430083;503,837577073984
"z_A[113]";0,2411971883688;0,236957293895483;-0,134778255;0,61559507;1,03187329595644;541,652719428361
"z_A[114]";0,09593464279022;0,251037564863579;-0,30757047;0,499188335;1,03243295559031;529,910626599368
"z_A[115]";0,25150063257124;0,234965142109456;-0,120239935;0,630371565;1,03042767294768;524,327462798894
"z_A[116]";-0,481852994562;0,238851353747344;-0,85401978;-0,092349003;1,02733361429686;589,117241490197
"z_A[117]";-0,2699457736076;0,248112500254596;-0,67078291;0,12103025;1,02891697907797;530,900638002349
"z_A[118]";1,484533588;0,247462531481454;1,0883601;1,88231355;1,03330708597521;499,807968448559
"z_A[119]";0,3923168794846;0,249236495171181;0,0043068656;0,793255585;1,0324835284039;530,935783054307
"z_A[120]";-0,558131565474;0,249991023552448;-0,94942435;-0,15585045;1,02714337934604;516,655780551806
"z_A[121]";-0,41434499285278;0,249829703951484;-0,803346435;-0,00445170624999992;1,0319805463429;494,590178439952
"z_A[122]";-0,5399536767428;0,254939388402175;-0,942469405;-0,12373429;1,03027978396246;542,297187427343
"z_A[123]";-0,036154484031528;0,251105958369569;-0,43136738;0,368496185;1,03581397858436;444,917750932202
"z_A[124]";0,452889910991;0,250776214556574;0,0569393015;0,86825211;1,03207568700169;528,33960534015
"z_A[125]";0,312418464166;0,248826809306709;-0,0877391265;0,708563755;1,03037893081353;512,773107066395
"z_A[126]";-0,3107671417598;0,239075265503855;-0,691930155;0,0729037230000001;1,02919624499639;567,634416213013
"z_A[127]";0,5597721693818;0,245830810637354;0,169570875;0,94992364;1,03422542184029;508,723410894039
"z_A[128]";-0,86864978084;0,236409277256966;-1,23869375;-0,488517005;1,03101816672825;548,180084459423
